2025-09-24 15:45:56,786 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
2025-09-24 15:51:04,820 - 输入参数: [1000.          582.82112619    7.4325932     3.60804457  510.60921182
 3380.68600518], 计算结果: 84593.75742952745
2025-09-24 15:51:09,376 - 输入参数: [1.00000000e+03 5.30547372e+02 1.93901430e+00 4.16601053e+00
 9.34914037e+03 6.16990600e+03], 计算结果: 42785.60717799973
2025-09-24 15:51:13,385 - 输入参数: [6.67553569e+02 7.00556442e+02 3.81693423e+00 3.71850684e+00
 6.05749552e+03 3.19210193e+03], 计算结果: 62580.405984985366
2025-09-24 15:51:18,031 - 输入参数: [5.05863206e+02 4.83919566e+02 1.40295302e-01 1.54240879e+00
 1.00000000e+04 5.88509250e+03], 计算结果: 40355.337053355855
2025-09-24 15:51:22,084 - 输入参数: [0.00000000e+00 1.00000000e+03 0.00000000e+00 4.31545145e+00
 6.24353984e+03 3.54021103e+03], 计算结果: 56727.101913328355
2025-09-24 15:51:26,796 - 输入参数: [8.11563575e+02 4.99759629e+02 0.00000000e+00 3.43025605e+00
 1.00000000e+04 6.45587195e+03], 计算结果: 39211.38873033297
2025-09-24 15:51:28,975 - 输入参数: [1.00000000e+03 7.44390723e+02 3.95567881e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00], 计算结果: 80324.534073555
2025-09-24 15:51:33,767 - 输入参数: [6.15720562e+02 8.26549791e+02 0.00000000e+00 8.27122455e+00
 1.00000000e+04 6.35523709e+03], 计算结果: 44035.973587855144
2025-09-24 15:51:38,503 - 输入参数: [7.40377355e+02 6.39126932e+02 2.42451660e+00 1.00000000e+01
 1.00000000e+04 7.21319093e+03], 计算结果: 47882.38834933337
2025-09-24 15:51:43,901 - 输入参数: [9.66106588e+01 0.00000000e+00 6.14284850e+00 3.31178338e+00
 0.00000000e+00 1.00000000e+04], 计算结果: 121787.48211941466
2025-09-24 15:51:48,940 - 输入参数: [1.00000000e+03 7.85631764e+02 3.77890768e+00 5.48411987e+00
 2.16051918e+03 7.81293596e+03], 计算结果: 54916.716872561185
2025-09-24 15:51:53,888 - 输入参数: [0.00000000e+00 1.00000000e+03 0.00000000e+00 8.09287521e+00
 2.78089409e+03 9.03509046e+03], 计算结果: 58131.54284553273
2025-09-24 15:51:58,578 - 输入参数: [0.00000000e+00 1.00000000e+03 3.17653365e+00 1.00000000e+01
 1.00000000e+04 1.00000000e+04], 计算结果: 45616.44709118009
2025-09-24 15:52:03,410 - 输入参数: [1.00000000e+03 8.16151949e+02 0.00000000e+00 3.13013541e+00
 1.00000000e+04 6.04838064e+03], 计算结果: 35562.24348842027
2025-09-24 15:52:07,672 - 输入参数: [6.94013956e+02 5.83522125e+02 4.37085840e+00 1.05294686e+00
 6.49351076e+03 5.12808475e+03], 计算结果: 52821.57938740682
2025-09-24 15:52:12,517 - 输入参数: [ 1000.           958.88957147     0.            10.
 10000.          5043.32506969], 计算结果: 41150.01133830441
2025-09-24 15:52:15,795 - 输入参数: [1000.            0.           10.           10.         1802.56954153
 2895.76897938], 计算结果: 112863.74133615129
2025-09-24 15:52:20,316 - 输入参数: [8.09191118e+01 2.71761427e+02 1.00000000e+01 1.07108005e+00
 1.00000000e+04 1.00000000e+04], 计算结果: 53362.04147402126
2025-09-24 15:52:22,790 - 输入参数: [ 659.52114101  735.03150143    0.            6.95007513    0.
 1599.60586637], 计算结果: 93288.11267486782
2025-09-24 15:52:25,475 - 输入参数: [ 357.8586683   676.89650773    7.78830328    0.         3183.22250156
    0.        ], 计算结果: 90638.17612066568
2025-09-24 15:52:30,150 - 输入参数: [1.00000000e+03 1.00000000e+03 5.08157194e+00 7.54181561e+00
 1.00000000e+04 7.47278334e+03], 计算结果: 38327.02848333378
2025-09-24 15:52:34,800 - 输入参数: [3.55413703e+02 8.99360283e+02 4.76571341e-01 4.94985273e+00
 8.64673412e+03 7.88646228e+03], 计算结果: 41550.80761936109
2025-09-24 15:52:39,773 - 输入参数: [7.00436778e+02 4.87795528e+02 0.00000000e+00 2.45781461e+00
 1.00000000e+04 2.58867661e+03], 计算结果: 46739.49390570229
2025-09-24 15:52:44,550 - 输入参数: [ 530.53228075  622.82592342    0.            0.         8986.00402729
 1406.46451823], 计算结果: 47903.01404884712
2025-09-24 15:52:47,026 - 输入参数: [ 991.89910996  861.38083156    0.            0.            0.
 1226.00798564], 计算结果: 70852.11241126302
2025-09-24 15:52:51,604 - 输入参数: [0.00000000e+00 6.56655376e+02 3.37494327e-01 3.29521494e+00
 9.32778814e+03 5.23694852e+03], 计算结果: 52311.524828936104
2025-09-24 15:52:56,216 - 输入参数: [6.94105408e+02 6.19501304e+02 0.00000000e+00 4.12623721e+00
 8.94300098e+03 5.67806518e+03], 计算结果: 43617.595170713146
2025-09-24 15:53:00,828 - 输入参数: [3.65898584e+02 0.00000000e+00 7.97459931e-01 3.65217424e+00
 9.70342789e+03 4.01447160e+03], 计算结果: 81714.45120711796
2025-09-24 15:53:04,770 - 输入参数: [1.00000000e+03 0.00000000e+00 8.33328503e-01 0.00000000e+00
 5.18322211e+03 3.65289969e+03], 计算结果: 54536.82000484149
2025-09-24 15:53:08,900 - 输入参数: [0.00000000e+00 4.32435956e+02 1.05763834e+00 1.00000000e+01
 9.65479008e+02 6.28778287e+03], 计算结果: 83090.5625884814
2025-09-24 15:53:13,542 - 输入参数: [7.93589896e+02 6.81628421e+02 0.00000000e+00 9.30461429e-01
 1.00000000e+04 7.93808417e+03], 计算结果: 32678.882231337266
2025-09-24 15:53:18,084 - 输入参数: [5.07130270e+02 7.07481041e+02 5.17979733e+00 2.57996608e+00
 9.09123156e+03 1.00000000e+04], 计算结果: 39901.26235059797
2025-09-24 15:53:22,885 - 输入参数: [1.00000000e+03 1.00000000e+03 1.00000000e+01 9.97045289e+00
 7.39824012e+03 1.00000000e+04], 计算结果: 43060.824906751
2025-09-24 15:53:27,588 - 输入参数: [7.91908216e+02 1.00000000e+03 1.00000000e+01 6.05572580e+00
 7.03832470e+03 1.00000000e+04], 计算结果: 45227.573917129484
2025-09-24 15:53:32,643 - 输入参数: [1.56682336e+02 5.79080958e+02 1.24592866e+00 2.44816330e+00
 0.00000000e+00 8.40292702e+03], 计算结果: 63234.17696459047
2025-09-24 15:53:38,315 - 输入参数: [5.60689100e+02 1.00000000e+03 9.65430493e-02 6.01198071e+00
 1.00000000e+04 0.00000000e+00], 计算结果: 55363.35402632033
2025-09-24 15:53:43,721 - 输入参数: [  711.17652793     0.             0.             0.
 10000.             0.        ], 计算结果: 62066.35822471211
2025-09-24 15:53:48,345 - 输入参数: [9.46691144e+02 4.65756554e+02 7.55689910e+00 1.79967501e+00
 1.00000000e+04 5.77306013e+03], 计算结果: 47127.000325186964
2025-09-24 15:53:52,979 - 输入参数: [ 1000.           752.01010176     0.             0.
 10000.         10000.        ], 计算结果: 27209.886987471113
2025-09-24 15:53:57,460 - 输入参数: [4.72875736e+02 5.44293650e+02 0.00000000e+00 3.60923910e+00
 2.66753869e+03 6.94224102e+03], 计算结果: 56295.92643102832
2025-09-24 15:54:01,983 - 输入参数: [3.88654430e+02 3.86942596e+02 4.52147091e+00 7.23929162e+00
 9.40450615e+03 3.32207488e+03], 计算结果: 62599.83318664554
2025-09-24 15:54:06,273 - 输入参数: [0.00000000e+00 5.02079023e+02 7.75292965e+00 6.23032607e+00
 7.88087548e+03 5.20646471e+03], 计算结果: 66615.39467938885
2025-09-24 15:54:11,084 - 输入参数: [1.00000000e+03 4.64240145e+02 3.74336154e+00 5.87881070e+00
 1.00000000e+04 5.30681535e+03], 计算结果: 48278.784025084686
2025-09-24 15:54:15,646 - 输入参数: [1.00000000e+03 3.41714866e+02 6.86277058e+00 3.90138553e+00
 9.71091373e+03 9.61089991e+03], 计算结果: 41940.13011751187
2025-09-24 15:54:20,386 - 输入参数: [1.00000000e+03 0.00000000e+00 1.00000000e+01 5.18850515e+00
 1.00000000e+04 9.65763976e+03], 计算结果: 48926.44462086863
2025-09-24 15:54:25,120 - 输入参数: [1.00000000e+03 6.73657435e+02 6.19794920e+00 0.00000000e+00
 1.00000000e+04 7.51855081e+03], 计算结果: 37468.21422528745
2025-09-24 15:54:30,411 - 输入参数: [1.00000000e+03 7.06536938e+02 0.00000000e+00 7.70642185e+00
 0.00000000e+00 8.32903866e+03], 计算结果: 59567.93887511996
2025-09-24 15:54:35,161 - 输入参数: [2.48100639e+02 5.77919700e+02 0.00000000e+00 2.78155415e+00
 1.00000000e+04 3.09160084e+03], 计算结果: 48886.94632171265
2025-09-24 15:54:40,773 - 输入参数: [  966.43978896   718.53581028     0.             0.
 10000.             0.        ], 计算结果: 46110.74368643703
2025-09-24 15:54:46,081 - 输入参数: [1.00000000e+03 8.27055125e+02 1.62323000e+00 0.00000000e+00
 0.00000000e+00 9.26818497e+03], 计算结果: 46999.41316899328
2025-09-24 15:54:49,498 - 输入参数: [ 682.20830736  943.58509348   10.            3.56027221    0.
 3066.47979112], 计算结果: 91123.68853716599
2025-09-24 15:54:54,717 - 输入参数: [1.00000000e+03 7.96217476e+02 1.58722944e+00 5.14966725e+00
 8.78386620e+03 0.00000000e+00], 计算结果: 55948.137174559335
2025-09-24 15:54:58,755 - 输入参数: [1.00000000e+03 5.46655800e+02 0.00000000e+00 2.23126160e-01
 5.68219443e+03 2.87422959e+03], 计算结果: 51152.44292405159
2025-09-24 15:55:03,405 - 输入参数: [1.00000000e+03 3.32426750e+02 9.56453533e-02 0.00000000e+00
 1.00000000e+04 7.61910193e+03], 计算结果: 33200.345311750796
2025-09-24 15:55:07,985 - 输入参数: [6.30320213e+02 8.67087193e+02 0.00000000e+00 6.55858985e+00
 1.00000000e+04 9.13201398e+03], 计算结果: 36507.251467910544
2025-09-24 15:55:13,580 - 输入参数: [1.00000000e+03 1.00000000e+03 0.00000000e+00 4.63923020e+00
 1.00000000e+04 5.48450261e+02], 计算结果: 44630.70842643982
2025-09-24 15:55:18,187 - 输入参数: [    0.           740.84935472     0.             0.
 10000.         10000.        ], 计算结果: 45773.60777145282
2025-09-24 15:55:22,931 - 输入参数: [1.18644974e+02 8.36445496e+02 1.00000000e+01 5.66845528e+00
 1.00000000e+04 3.58989232e+03], 计算结果: 65779.26665848329
2025-09-24 15:55:27,567 - 输入参数: [1.00000000e+03 7.58882986e+02 0.00000000e+00 3.62799715e+00
 1.00000000e+04 7.14981543e+03], 计算结果: 34828.835825346396
2025-09-24 15:55:28,139 - 输入参数: [0.         0.         0.         4.09778667 0.         0.        ], 计算结果: 344884.62908904976
2025-09-24 15:55:32,807 - 输入参数: [1.00000000e+03 7.65577980e+02 1.40315466e+00 5.33587740e+00
 1.00000000e+04 1.00000000e+04], 计算结果: 33138.645722747126
2025-09-24 15:55:37,686 - 输入参数: [1.00000000e+03 9.42840221e+02 0.00000000e+00 1.62698418e+00
 6.17833534e+03 9.45908436e+03], 计算结果: 33131.06822928325
2025-09-24 15:55:42,378 - 输入参数: [ 1000.           942.85003115     0.            10.
 10000.         10000.        ], 计算结果: 33532.33365279432
2025-09-24 15:55:47,636 - 输入参数: [1.00000000e+03 4.52107504e+02 0.00000000e+00 8.24060491e+00
 9.70896354e+03 9.90921559e+02], 计算结果: 59258.82845558046
2025-09-24 15:55:52,265 - 输入参数: [9.30681225e+02 1.00000000e+03 0.00000000e+00 3.43110839e+00
 1.00000000e+04 9.04690520e+03], 计算结果: 29985.08237329394
2025-09-24 15:55:56,988 - 输入参数: [1.00000000e+03 6.69994837e+02 0.00000000e+00 3.27800371e+00
 1.00000000e+04 4.46952464e+03], 计算结果: 40329.85520639226
2025-09-24 15:56:01,564 - 输入参数: [1.00000000e+03 9.37025573e+02 0.00000000e+00 3.72471975e+00
 1.00000000e+04 9.95394361e+03], 计算结果: 29007.367194179235
2025-09-24 15:56:06,060 - 输入参数: [4.06152738e+02 4.22343637e+02 1.00000000e+01 1.72773879e+00
 1.00000000e+04 1.00000000e+04], 计算结果: 44895.40755654749
2025-09-24 15:56:11,221 - 输入参数: [0.0000000e+00 1.0000000e+03 0.0000000e+00 3.4926748e+00 0.0000000e+00
 1.0000000e+04], 计算结果: 55900.520352932785
2025-09-24 15:56:12,717 - 输入参数: [  0.         632.08030795   0.           9.08482144   0.
   0.        ], 计算结果: 108153.14234347935
2025-09-24 15:56:17,465 - 输入参数: [1.00000000e+03 6.95574913e+02 0.00000000e+00 9.93282476e+00
 1.00000000e+04 5.87189717e+03], 计算结果: 44136.583503897884
2025-09-24 15:56:22,566 - 输入参数: [0.00000000e+00 0.00000000e+00 1.00000000e+01 3.62977058e+00
 9.93042878e+03 6.29333586e+02], 计算结果: 116771.00857179983
2025-09-24 15:56:28,176 - 输入参数: [6.64048706e+02 4.28886094e+02 0.00000000e+00 2.25175561e+00
 1.00000000e+04 0.00000000e+00], 计算结果: 53378.78508968219
2025-09-24 15:56:32,661 - 输入参数: [7.62597135e+02 6.52204390e+02 0.00000000e+00 2.49543920e+00
 1.00000000e+04 1.00000000e+04], 计算结果: 31593.02845590224
2025-09-24 15:56:38,338 - 输入参数: [ 1000.           774.47493081     0.             0.
     0.         10000.        ], 计算结果: 43983.117266769405
2025-09-24 15:56:42,939 - 输入参数: [  465.18637541   655.84120368     0.             0.
  9007.18895187 10000.        ], 计算结果: 32650.087038508995
2025-09-24 15:56:47,568 - 输入参数: [  875.19695391   702.13213482     0.             0.
 10000.          9121.52601496], 计算结果: 29345.213966210726
2025-09-24 15:56:51,181 - 输入参数: [1.00000000e+03 0.00000000e+00 0.00000000e+00 4.58186045e+00
 4.73649312e+03 0.00000000e+00], 计算结果: 76252.12534739799
2025-09-24 15:56:53,804 - 输入参数: [1000.          953.8832761     0.            0.         1214.93012945
    0.        ], 计算结果: 67902.87807725999
2025-09-24 15:56:58,509 - 输入参数: [1.00000000e+03 5.79691312e+02 0.00000000e+00 9.62073542e-01
 9.44190821e+03 1.00000000e+04], 计算结果: 29844.696624391123
2025-09-24 15:57:03,507 - 输入参数: [    0.             0.             0.             0.
 10000.          1937.14288638], 计算结果: 207709.41595237094
2025-09-24 15:57:08,514 - 输入参数: [3.57903533e+02 4.63792635e+02 0.00000000e+00 5.35866679e+00
 3.07163404e+03 8.89363889e+03], 计算结果: 54276.21784767547
2025-09-24 15:57:13,277 - 输入参数: [1.00000000e+03 1.00000000e+03 0.00000000e+00 3.05932773e+00
 1.00000000e+04 1.00000000e+04], 计算结果: 27806.910604394863
2025-09-24 15:57:17,962 - 输入参数: [1.00000000e+03 5.85673938e+02 1.60371653e+00 7.84272486e+00
 1.00000000e+04 1.00000000e+04], 计算结果: 37412.97956585743
2025-09-24 15:57:22,545 - 输入参数: [ 1000.          362.9307335     0.            0.        10000.
 10000.       ], 计算结果: 29440.01794147615
2025-09-24 15:57:27,345 - 输入参数: [1.00000000e+03 7.92026221e+02 0.00000000e+00 4.22889226e+00
 1.00000000e+04 7.07531256e+03], 计算结果: 35171.97434546016
2025-09-24 15:57:31,871 - 输入参数: [1000.         1000.            0.            9.72083738 5749.05333982
    0.        ], 计算结果: 62071.12399675605
2025-09-24 15:57:37,244 - 输入参数: [2.60599880e+02 0.00000000e+00 9.64199669e+00 7.16286549e+00
 0.00000000e+00 1.00000000e+04], 计算结果: 83322.05050564173
2025-09-24 15:57:41,978 - 输入参数: [ 1000.           752.01010176     0.             0.
 10000.         10000.        ], 计算结果: 27209.886987471113
2025-09-24 15:57:46,756 - 输入参数: [1.00000000e+03 6.42288632e+02 2.42732242e-01 0.00000000e+00
 1.00000000e+04 6.68558944e+03], 计算结果: 32957.57593957579
2025-09-24 15:57:51,434 - 输入参数: [1.00000000e+03 6.73485729e+02 6.34187449e+00 1.00000000e+01
 1.00000000e+04 7.28643236e+03], 计算结果: 47388.4100263117
2025-09-24 15:57:56,150 - 输入参数: [9.90651925e+02 7.53906165e+02 0.00000000e+00 2.04683624e+00
 8.74279030e+03 2.70620050e+03], 计算结果: 44407.26112648462
2025-09-24 15:58:00,786 - 输入参数: [1.00000000e+03 7.17277030e+02 3.22994282e+00 1.61863199e+00
 1.00000000e+04 1.00000000e+04], 计算结果: 31884.722723162355
2025-09-24 15:58:05,550 - 输入参数: [1.00000000e+03 7.69501555e+01 0.00000000e+00 5.71905632e+00
 9.87630251e+03 1.00000000e+04], 计算结果: 37306.98584246334
2025-09-24 15:58:11,023 - 输入参数: [    0.           205.31208727    10.             0.
 10000.             0.        ], 计算结果: 95311.56873687808
2025-09-24 15:58:15,931 - 输入参数: [8.39422353e+01 5.65723788e+02 6.96287410e+00 0.00000000e+00
 9.68430684e+03 2.52051623e+03], 计算结果: 58181.424042982246
2025-09-24 15:58:20,764 - 输入参数: [ 1000.           724.69234857     0.             0.
 10000.         10000.        ], 计算结果: 27370.70457867447
2025-09-24 15:58:25,789 - 输入参数: [1.00000000e+03 1.00000000e+03 1.57923354e-01 0.00000000e+00
 1.00000000e+04 4.72943316e+03], 计算结果: 32682.11084669504
2025-09-24 15:58:30,395 - 输入参数: [2.82679258e+02 2.33602984e+02 3.09627622e+00 2.67115300e+00
 5.99787328e+03 6.95367284e+03], 计算结果: 61580.56871834404
2025-09-24 15:58:35,132 - 输入参数: [ 1000.           808.12995975     0.             0.
 10000.         10000.        ], 计算结果: 26873.963907594585
2025-09-24 15:58:40,652 - 输入参数: [9.89143674e+02 2.17103394e+02 7.30799126e+00 1.40429484e+00
 1.00000000e+04 0.00000000e+00], 计算结果: 64682.87206024928
2025-09-24 15:58:45,460 - 输入参数: [1.00000000e+03 7.70152999e+02 1.18168224e+00 1.91159706e+00
 1.00000000e+04 1.00000000e+04], 计算结果: 29910.393633996282
2025-09-24 15:58:50,142 - 输入参数: [1.00000000e+03 1.00000000e+03 0.00000000e+00 5.97366113e-02
 7.63996052e+03 2.19241962e+03], 计算结果: 41542.468015358216
