2025-09-12 14:34:10,755 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
 3.40391041e+05 4.63335348e+05], 计算结果: 481.740877185059
2025-09-12 14:41:38,076 - 输入参数: [9.18108259e+04 9.58772327e+04 8.73491164e+00 1.12714784e+01
 7.78123426e+05 8.18730394e+05], 计算结果: 500.26545525659765
2025-09-12 14:41:46,198 - 输入参数: [1.01320612e+04 3.69330939e+04 6.93717288e+01 8.20370149e+00
 2.36544360e+04 7.42762677e+04], 计算结果: 1856.9419920490836
2025-09-12 14:41:58,771 - 输入参数: [8.62553794e+04 8.89803701e+04 6.30888078e+01 5.34676475e+01
 1.38033836e+05 1.05377670e+05], 计算结果: 1308.5555950504502
2025-09-12 14:42:11,766 - 输入参数: [7.18801845e+02 5.82677296e+04 5.38058013e+01 2.69298188e+01
 5.58033661e+05 9.21374785e+05], 计算结果: 663.818750484166
2025-09-12 14:42:23,056 - 输入参数: [7.42675385e+04 6.82517603e+04 8.78008550e+01 7.49118787e+01
 3.48431031e+05 1.43272264e+05], 计算结果: 665.9025656894538
2025-09-12 14:42:34,317 - 输入参数: [4.55096090e+03 8.36932275e+04 9.21191221e+01 5.37463670e+01
 4.15938846e+05 1.88284858e+05], 计算结果: 651.1652339543036
2025-09-12 14:42:47,017 - 输入参数: [6.38230158e+04 8.89214161e+04 3.56407140e+01 9.58112645e+01
 5.85572777e+05 6.36344720e+05], 计算结果: 511.04341941410075
2025-09-12 14:43:00,378 - 输入参数: [4.05272148e+04 3.56034058e+04 2.39038258e+00 4.20080808e+01
 7.53070747e+05 8.66070172e+05], 计算结果: 497.870765658634
2025-09-12 14:43:13,335 - 输入参数: [9.39567089e+04 8.97804157e+03 9.56410205e+01 3.22964523e+01
 4.55674207e+05 7.79369301e+05], 计算结果: 579.2810266388532
2025-09-12 14:43:25,585 - 输入参数: [5.29448434e+04 1.24083698e+04 1.66894951e+01 3.93053945e+01
 1.14241890e+05 8.92245851e+05], 计算结果: 808.0930514915971
2025-09-12 14:43:38,279 - 输入参数: [3.13065497e+04 1.34860168e+04 4.18479175e+01 4.59108496e+01
 9.40674712e+05 5.18281788e+05], 计算结果: 538.4661817455224
2025-09-12 14:43:51,759 - 输入参数: [8.29960894e+04 2.64224401e+04 5.84001485e+01 7.91429508e+01
 8.86457602e+05 8.55022346e+05], 计算结果: 491.45125786350263
2025-09-12 14:44:03,747 - 输入参数: [4.41640144e+04 5.90558025e+04 5.12537894e+01 3.98042450e+01
 5.64227983e+05 9.29621898e+04], 计算结果: 810.061029320351
2025-09-12 14:44:18,289 - 输入参数: [3.29360295e+04 1.76261538e+04 4.50280131e+01 6.78119433e+01
 6.74032975e+03 8.74346015e+05], 计算结果: 2503.432794962218
2025-09-12 14:44:30,970 - 输入参数: [1.09925989e+04 1.43890474e+04 6.43683780e+01 1.00000000e+02
 4.22046122e+05 9.29619733e+05], 计算结果: 666.4930844579371
2025-09-12 14:44:46,865 - 输入参数: [5.94827957e+04 8.05716098e+04 5.65049020e+01 1.00000000e+02
 0.00000000e+00 0.00000000e+00], 计算结果: 6596.4318277640505
2025-09-12 14:45:01,991 - 输入参数: [2.82034817e+04 0.00000000e+00 0.00000000e+00 7.41179333e+01
 0.00000000e+00 7.25756009e+05], 计算结果: 4046.0183941876994
2025-09-12 14:45:15,159 - 输入参数: [3.43174589e+04 1.00000000e+05 2.13312890e+01 1.00000000e+02
 9.64017471e+05 6.04317167e+05], 计算结果: 515.9325646701766
2025-09-12 14:45:23,168 - 输入参数: [0.00000000e+00 1.53038775e+04 6.35010621e+00 8.35605974e+01
 2.59410074e+05 2.56618149e+05], 计算结果: 1202.4412011357097
2025-09-12 14:45:27,679 - 输入参数: [1.97067969e+04 0.00000000e+00 8.06691397e+00 4.99062456e+01
 2.54985851e+05 3.36260826e+04], 计算结果: 1315.8467507202065
2025-09-12 14:45:41,422 - 输入参数: [22673.46885866  2379.22353422     0.            70.26037408
     0.             0.        ], 计算结果: 25340.789162909896
2025-09-12 14:45:53,823 - 输入参数: [4.64800177e+04 8.59125180e+04 1.00000000e+02 1.00000000e+02
 1.00000000e+06 1.50569686e+05], 计算结果: 810.9198449695314
2025-09-12 14:46:03,178 - 输入参数: [0.00000000e+00 3.21716397e+04 1.00000000e+02 1.85632868e+01
 4.05500654e+05 2.45743890e+05], 计算结果: 715.849343917811
2025-09-12 14:46:13,514 - 输入参数: [8.32832401e+03 3.78561327e+04 6.17362737e+01 1.00000000e+02
 2.04400372e+05 8.68101721e+05], 计算结果: 519.0656063548574
2025-09-12 14:46:25,927 - 输入参数: [6.22284667e+04 4.43281882e+04 0.00000000e+00 4.50296478e+00
 1.00000000e+06 4.55795990e+05], 计算结果: 482.0302363749563
2025-09-12 14:46:32,792 - 输入参数: [2.45825057e+04 1.95082876e+04 4.77182786e+00 3.96675825e+01
 1.60321699e+05 2.60276515e+05], 计算结果: 337.2035527186674
2025-09-12 14:46:48,655 - 输入参数: [0.00000000e+00 1.00000000e+05 3.86019194e+01 9.25541097e+01
 9.63478132e+05 0.00000000e+00], 计算结果: 2418.9850130114296
2025-09-12 14:46:55,632 - 输入参数: [2.13309728e+04 2.52513862e+04 3.33156364e+00 0.00000000e+00
 2.48384837e+05 1.92076174e+05], 计算结果: 301.4915944748535
2025-09-12 14:47:08,845 - 输入参数: [3.17337325e+04 3.32518760e+04 4.89936157e+01 3.24497608e+01
 1.00000000e+06 6.64247718e+05], 计算结果: 503.6997533984771
2025-09-12 14:47:17,768 - 输入参数: [1.15298641e+04 0.00000000e+00 9.16579351e+00 8.02032835e+01
 2.22145254e+05 3.91810869e+05], 计算结果: 1288.989659590719
2025-09-12 14:47:32,676 - 输入参数: [1.33926350e+04 2.57886427e+04 1.56176078e+01 7.00146501e+01
 1.48070845e+05 0.00000000e+00], 计算结果: 3348.214712383973
2025-09-12 14:47:44,936 - 输入参数: [6.25687246e+03 0.00000000e+00 6.49183961e+01 1.00000000e+02
 4.94501053e+05 6.61358473e+05], 计算结果: 1449.2392382818139
2025-09-12 14:47:50,448 - 输入参数: [0.00000000e+00 1.96737377e+04 7.91264662e+00 4.45455337e+01
 7.59205718e+04 8.38067693e+05], 计算结果: 996.0377429361706
2025-09-12 14:48:03,298 - 输入参数: [0.00000000e+00 3.23144060e+04 0.00000000e+00 1.00000000e+02
 5.82055583e+05 8.65489925e+05], 计算结果: 975.3518807024789
2025-09-12 14:48:16,291 - 输入参数: [5.57113697e+04 0.00000000e+00 9.71082441e+00 5.04241290e+01
 1.00000000e+06 6.08598927e+05], 计算结果: 681.7230368506013
2025-09-12 14:48:27,944 - 输入参数: [4.11280789e+04 9.47634479e+04 4.79093969e+01 0.00000000e+00
 2.42143821e+05 8.48501697e+05], 计算结果: 507.80022450399304
2025-09-12 14:48:39,379 - 输入参数: [0.00000000e+00 1.09726572e+04 0.00000000e+00 5.28252914e+01
 4.90530317e+05 4.17905648e+05], 计算结果: 1744.9391027398403
2025-09-12 14:48:54,772 - 输入参数: [2.90194070e+04 2.42766584e+04 2.98927993e+01 8.26066282e+01
 0.00000000e+00 2.25417974e+05], 计算结果: 3282.257606736608
2025-09-12 14:49:10,290 - 输入参数: [5.84469791e+04 0.00000000e+00 8.01271865e+00 5.72977232e+01
 0.00000000e+00 2.66402664e+05], 计算结果: 2618.255747161059
2025-09-12 14:49:23,118 - 输入参数: [1.00000000e+05 0.00000000e+00 3.30673637e+01 1.00000000e+02
 1.00000000e+06 5.27655671e+05], 计算结果: 568.5279125688788
2025-09-12 14:49:35,920 - 输入参数: [    0.         14478.2828333     52.1900041     58.19511811
     0.             0.        ], 计算结果: 36367.522460612025
2025-09-12 14:49:45,657 - 输入参数: [1.00000000e+05 4.42461720e+04 6.30440128e+00 5.87824921e+01
 2.57392570e+05 1.57662481e+05], 计算结果: 540.1761964137438
2025-09-12 14:49:53,962 - 输入参数: [1.82084772e+04 4.14608304e+04 0.00000000e+00 8.88232074e+01
 3.46687410e+04 4.12016856e+05], 计算结果: 777.5833003903838
2025-09-12 14:50:06,541 - 输入参数: [6.08194617e+03 2.81479775e+04 5.14810415e+01 9.03102741e+01
 6.90557605e+05 6.28885793e+05], 计算结果: 663.5178238024844
2025-09-12 14:50:18,871 - 输入参数: [     0.              0.              0.              0.
 431282.98608528      0.        ], 计算结果: 9608.722001428621
2025-09-12 14:50:28,016 - 输入参数: [2.22966798e+04 1.84327016e+04 0.00000000e+00 6.79671307e+01
 2.24661313e+05 3.72420210e+05], 计算结果: 418.6723351819269
2025-09-12 14:50:42,200 - 输入参数: [1.00000000e+05 4.73882399e+04 4.34106913e+01 3.83909827e+01
 4.62979852e+04 7.96984500e+05], 计算结果: 1149.4376142542455
2025-09-12 14:50:52,724 - 输入参数: [0.00000000e+00 2.64275364e+04 1.00000000e+02 0.00000000e+00
 7.61000256e+05 2.40831002e+05], 计算结果: 830.0230053062018
2025-09-12 14:51:00,886 - 输入参数: [1.71372147e+04 1.21258078e+04 1.53082901e+01 7.17083296e+01
 1.12240980e+05 9.93523620e+05], 计算结果: 650.9566785001401
2025-09-12 14:51:16,590 - 输入参数: [5.40691388e+04 0.00000000e+00 0.00000000e+00 9.38164189e+01
 0.00000000e+00 1.00000000e+06], 计算结果: 3012.093838456542
2025-09-12 14:51:31,973 - 输入参数: [0.00000000e+00 3.57811527e+04 8.42008805e+00 0.00000000e+00
 2.86592181e+05 0.00000000e+00], 计算结果: 3401.2913835563145
2025-09-12 14:51:47,112 - 输入参数: [2.51888066e+04 1.98724190e+04 0.00000000e+00 9.72782568e+01
 0.00000000e+00 5.57331562e+05], 计算结果: 3735.397332309074
2025-09-12 14:52:02,809 - 输入参数: [3.25802914e+04 1.00000000e+05 1.00000000e+02 9.37201268e+01
 1.73441260e+05 0.00000000e+00], 计算结果: 2408.1782976055893
2025-09-12 14:52:10,509 - 输入参数: [0.00000000e+00 1.42845979e+04 5.31218692e+01 8.14430215e+01
 1.00000000e+06 1.44628654e+05], 计算结果: 947.0686139323348
2025-09-12 14:52:21,241 - 输入参数: [0.00000000e+00 3.67304938e+04 1.00000000e+02 5.28404214e+01
 3.32736538e+05 4.04049515e+05], 计算结果: 729.5691055885229
2025-09-12 14:52:33,692 - 输入参数: [0.00000000e+00 1.00000000e+05 8.16297741e+01 1.00000000e+02
 1.00000000e+06 2.54312569e+05], 计算结果: 848.0418718989938
2025-09-12 14:52:49,502 - 输入参数: [1.00000000e+05 2.61743634e+04 1.36524837e+01 4.04289672e+01
 6.90968113e+04 0.00000000e+00], 计算结果: 6630.738669833131
2025-09-12 14:53:04,807 - 输入参数: [1.71825046e+04 1.45350881e+04 4.50366339e+00 4.89641637e+01
 1.00000000e+06 0.00000000e+00], 计算结果: 5790.88765376236
2025-09-12 14:53:16,444 - 输入参数: [1.00000000e+05 1.83698654e+04 1.00000000e+02 7.06250228e+01
 1.89443420e+05 4.31813191e+05], 计算结果: 584.8748837471962
2025-09-12 14:53:32,246 - 输入参数: [4.28649509e+04 4.18632888e+04 3.45070424e+01 4.45203189e+01
 1.00000000e+06 0.00000000e+00], 计算结果: 3740.2689778995446
2025-09-12 14:53:47,165 - 输入参数: [1.56526135e+04 1.91915491e+04 4.20228085e+01 5.97199009e+01
 0.00000000e+00 2.70688812e+05], 计算结果: 3838.992849563046
2025-09-12 14:54:02,681 - 输入参数: [0.00000000e+00 3.55470604e+04 4.73830154e+01 1.00000000e+02
 4.63864369e+05 0.00000000e+00], 计算结果: 3836.899727359098
2025-09-12 14:54:18,879 - 输入参数: [1.00000000e+05 4.09211056e+04 3.77032809e+01 4.15702624e+01
 0.00000000e+00 7.86267483e+05], 计算结果: 2062.045533434354
2025-09-12 14:54:31,912 - 输入参数: [0.00000000e+00 2.83859051e+04 2.97472698e+01 8.14654508e+01
 1.00000000e+06 6.55110034e+05], 计算结果: 908.7293349336454
2025-09-12 14:54:47,304 - 输入参数: [1.19897310e+04 1.72351446e+04 8.63631965e+01 1.00000000e+02
 0.00000000e+00 1.00000000e+06], 计算结果: 5873.24231578283
2025-09-12 14:55:03,364 - 输入参数: [1.00000000e+05 0.00000000e+00 0.00000000e+00 9.31182490e+01
 0.00000000e+00 3.57709211e+05], 计算结果: 2113.123428668314
2025-09-12 14:55:16,571 - 输入参数: [1.55184275e+03 8.57679559e+03 8.16346002e+01 8.55130658e+01
 7.03476458e+05 8.36273701e+05], 计算结果: 1153.3313362252297
2025-09-12 14:55:30,581 - 输入参数: [3.68732713e+03 0.00000000e+00 1.68751382e+01 0.00000000e+00
 0.00000000e+00 4.17451724e+05], 计算结果: 6013.129471006741
2025-09-12 14:55:41,307 - 输入参数: [1.44562010e+04 5.38963413e+03 9.13335061e+00 1.00000000e+02
 3.89863765e+05 3.77506544e+05], 计算结果: 756.8396771562923
2025-09-12 14:55:50,791 - 输入参数: [2.20700040e+04 3.38329443e+04 0.00000000e+00 1.00000000e+02
 2.40113613e+05 3.50526792e+05], 计算结果: 386.36621418285074
2025-09-12 14:55:56,516 - 输入参数: [2.05415481e+04 2.38147131e+04 6.40242907e+00 1.29311696e+01
 1.62951516e+05 1.64896926e+05], 计算结果: 271.5798541904786
2025-09-12 14:56:12,665 - 输入参数: [8.44984533e+04 1.00000000e+05 0.00000000e+00 7.54062127e+01
 0.00000000e+00 2.13596860e+05], 计算结果: 2570.5451645591897
2025-09-12 14:56:20,967 - 输入参数: [7.07963551e+04 2.81983291e+04 2.07433662e+01 2.34783764e+01
 6.62350608e+05 1.34913996e+05], 计算结果: 387.95479386141426
2025-09-12 14:56:25,487 - 输入参数: [0.00000000e+00 4.73359764e+04 6.53511016e+01 5.73658396e+01
 4.43850234e+04 2.33164653e+05], 计算结果: 931.2022430266069
2025-09-12 14:56:38,429 - 输入参数: [3.61843124e+04 3.26797404e+04 5.92463580e+01 0.00000000e+00
 9.10152362e+05 6.05392210e+05], 计算结果: 496.552998876459
2025-09-12 14:56:50,246 - 输入参数: [2.38147942e+04 5.67247605e+04 3.69616286e+01 5.08075998e+01
 2.54664322e+05 1.00000000e+06], 计算结果: 482.18562673702417
2025-09-12 14:57:04,667 - 输入参数: [28999.76989193     0.            31.91181659     0.
     0.             0.        ], 计算结果: 22132.28471934714
2025-09-12 14:57:20,139 - 输入参数: [2.28116764e+04 4.36462753e+04 0.00000000e+00 1.00000000e+02
 0.00000000e+00 4.00770029e+05], 计算结果: 3863.2375634674645
2025-09-12 14:57:31,472 - 输入参数: [9.73943909e+04 0.00000000e+00 0.00000000e+00 1.00000000e+02
 1.00000000e+06 3.09813536e+05], 计算结果: 591.8588912577158
2025-09-12 14:57:36,572 - 输入参数: [1.79237318e+04 0.00000000e+00 2.56967090e+00 0.00000000e+00
 2.42195808e+05 1.10574066e+05], 计算结果: 1142.9918604320037
2025-09-12 14:57:51,441 - 输入参数: [4.34900217e+04 9.25663907e+03 1.00000000e+02 4.25669028e+01
 0.00000000e+00 0.00000000e+00], 计算结果: 16002.127305385433
2025-09-12 14:58:04,866 - 输入参数: [1.00000000e+05 4.12752932e+04 0.00000000e+00 1.00000000e+02
 1.00000000e+06 7.74243046e+05], 计算结果: 482.2887145637254
2025-09-12 14:58:20,133 - 输入参数: [2.05196302e+04 2.63663412e+04 6.24695751e+00 1.52480291e+01
 3.74922205e+05 0.00000000e+00], 计算结果: 3813.5681889232255
2025-09-12 14:58:35,239 - 输入参数: [1.74758695e+04 3.23924250e+04 0.00000000e+00 1.83431920e+01
 0.00000000e+00 0.00000000e+00], 计算结果: 13682.57554698424
2025-09-12 14:58:48,956 - 输入参数: [2.78676972e+04 2.52405791e+04 5.30451741e+00 4.56607653e+01
 0.00000000e+00 0.00000000e+00], 计算结果: 12589.58668925606
2025-09-12 14:59:04,361 - 输入参数: [ 43741.66927009  50446.60250356      0.              0.
 250463.24576808      0.        ], 计算结果: 3063.2409283718075
2025-09-12 14:59:18,319 - 输入参数: [1.36001196e+04 1.70841456e+04 4.18749946e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00], 计算结果: 17743.50080141777
2025-09-12 14:59:33,017 - 输入参数: [ 17834.51389448  25467.5290934       0.              0.
      0.         205776.35938161], 计算结果: 3573.241926969413
2025-09-12 14:59:42,477 - 输入参数: [3.51251787e+04 5.04910032e+04 1.18936481e+01 0.00000000e+00
 3.38784359e+05 2.17879997e+05], 计算结果: 412.19089823372667
2025-09-12 15:00:18,920 - 输入参数: [0.00000000e+00 2.56100911e+04 0.00000000e+00 8.16853056e+01
 5.25668979e+05 0.00000000e+00], 计算结果: 4345.943516981869
2025-09-12 15:00:39,905 - 输入参数: [ 22860.298964    25311.63637703      0.              0.
 335852.30236506 367610.92042487], 计算结果: 413.3198793581214
2025-09-12 15:00:51,779 - 输入参数: [0.00000000e+00 0.00000000e+00 1.59762333e+00 0.00000000e+00
 2.47920425e+05 2.32772037e+05], 计算结果: 7178.46821831631
2025-09-12 15:01:05,378 - 输入参数: [2.24403823e+04 4.16308730e+04 1.76498023e+00 0.00000000e+00
 3.86785179e+05 5.85952280e+04], 计算结果: 796.3213408596423
2025-09-12 15:01:21,265 - 输入参数: [3.60152754e+04 2.70193379e+04 7.24380629e+00 0.00000000e+00
 0.00000000e+00 5.93317947e+05], 计算结果: 3318.626364712423
2025-09-12 15:01:30,596 - 输入参数: [4.37919907e+04 1.43307431e+04 4.09495816e+00 0.00000000e+00
 2.88800684e+05 2.95971558e+05], 计算结果: 375.47662294938743
2025-09-12 15:01:44,850 - 输入参数: [ 18045.60848024  23524.17815858      0.              0.
      0.         107985.40840001], 计算结果: 3366.432709538573
2025-09-12 15:02:00,963 - 输入参数: [6.41963190e+04 3.99067942e+04 4.31397817e+01 9.70213217e+00
 0.00000000e+00 0.00000000e+00], 计算结果: 8488.377118959506
2025-09-12 15:02:11,792 - 输入参数: [     0.          25321.24525136      0.              0.
 762035.60430879 271718.96896622], 计算结果: 1133.484177498188
2025-09-12 15:02:25,430 - 输入参数: [0.00000000e+00 2.13088356e+04 1.93137383e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00], 计算结果: 24710.28943440439
2025-09-12 15:02:40,396 - 输入参数: [2.08338427e+04 4.13605015e+04 3.17426936e+00 0.00000000e+00
 9.58663870e+04 0.00000000e+00], 计算结果: 3103.1675581925515
2025-09-12 15:02:49,733 - 输入参数: [0.00000000e+00 2.95766325e+04 3.22586020e+00 0.00000000e+00
 2.50312567e+05 3.73751140e+05], 计算结果: 959.8568985687912
2025-09-12 15:03:05,131 - 输入参数: [5.35707077e+04 0.00000000e+00 5.67938544e+01 0.00000000e+00
 0.00000000e+00 5.34440458e+05], 计算结果: 2932.757010141832
2025-09-12 15:03:12,706 - 输入参数: [ 25030.84275305      0.              0.              0.
 211390.44081548 263264.72076373], 计算结果: 1133.3569438201407
2025-09-12 15:03:25,366 - 输入参数: [0.00000000e+00 3.09705803e+04 1.00000000e+02 1.00000000e+02
 0.00000000e+00 2.05891631e+05], 计算结果: 4670.23765970694
2025-09-12 15:03:38,758 - 输入参数: [0.00000000e+00 1.00000000e+05 1.00000000e+02 7.59956401e+01
 8.02901905e+05 8.83611982e+04], 计算结果: 1161.584250237683
2025-09-12 15:03:53,230 - 输入参数: [0.00000000e+00 4.96211123e+04 1.00000000e+02 1.00000000e+02
 1.00000000e+06 1.35085136e+04], 计算结果: 2410.9326040554847
2025-09-12 15:04:06,081 - 输入参数: [0.00000000e+00 1.04205048e+04 7.20654022e+01 1.00000000e+02
 1.00000000e+06 1.02736576e+04], 计算结果: 3426.408264224333
2025-09-12 15:04:15,329 - 输入参数: [4.27681442e+04 1.74245020e+04 7.06829021e-01 1.00000000e+02
 1.00000000e+06 1.91135324e+05], 计算结果: 419.7355454563447
2025-09-12 15:04:31,133 - 输入参数: [8.92189077e+04 9.39616394e+03 1.00000000e+02 3.48605187e+01
 0.00000000e+00 6.46265308e+05], 计算结果: 2216.1782371150184
2025-09-12 15:04:42,662 - 输入参数: [1.26912710e+04 1.54929993e+03 1.18077225e+01 0.00000000e+00
 7.77139017e+05 3.69785239e+05], 计算结果: 1592.3800089409897
2025-09-12 15:04:48,100 - 输入参数: [1.93962483e+04 2.15342343e+04 9.72196618e+01 0.00000000e+00
 1.28714003e+05 1.94312504e+05], 计算结果: 372.82146735310016
2025-09-12 15:04:55,682 - 输入参数: [0.00000000e+00 2.16767358e+04 0.00000000e+00 5.82962111e+01
 4.52509169e+05 1.56444041e+05], 计算结果: 1138.6371345931384
2025-09-12 15:05:06,234 - 输入参数: [0.00000000e+00 1.75091330e+04 0.00000000e+00 1.84574537e+00
 3.40469371e+05 4.03722724e+05], 计算结果: 1590.0160217404791
2025-09-12 15:05:14,715 - 输入参数: [4.26853045e+04 2.22311075e+04 2.26838367e+01 0.00000000e+00
 3.68941367e+05 2.15464711e+05], 计算结果: 338.024484291043
2025-09-12 15:05:29,960 - 输入参数: [2.54774482e+04 1.12343500e+04 9.95689425e+01 6.62472669e+01
 0.00000000e+00 4.17138541e+05], 计算结果: 3826.96358267172
2025-09-12 15:05:38,131 - 输入参数: [7.07046467e+04 2.53758912e+04 1.57077906e+01 3.39103160e+01
